gene_id	symbol	ratio
374010	UNG	0.1506250722
374011	MAB21L2	1.0923002786
374012	BIRC2	0.452258799
374015	FABP1	2.4594316186
374016	LAMA1	-0.830074999
374017	BARX1	0.0588936891
374018	ILK	-0.491281161
374019	SOX3	-0.754887502
374020	FECH	-0.791279941
374021	RNF111	0.4668433742
374022	DPYSL4	2.1154772174
374024	TWSG1	-0.452421101
374025	SMN	-0.409935325
374026	ARNT	-0.33398319
374027	NEB	-0.145240137
374030	PCBD2	-0.00112025
374031	NOTCH2	-0.030245022
374033	UGT8	-0.179990619
374034	AFAP1	1.149207235
374035	GIT2	-0.300783337
374037	HAT1	-0.631877437
374038	CBL	0.3251090671
374039	OGN	-0.605721061
374040	DIAPH1	0.0077027271
374042	SOD2	-0.009756846
374046	COL11A1	-0.584962501
374047	CCND2	0.1147221437
374048	MYOD1	0.8514774753
374049	TPD52L1	0.1962569342
374050	DDB1	-0.624098858
374051	HOXA2	-0.53025109
374052	F5	0.125339429
374053	RPS17	-0.183742928
374055	TRAF5	-1.078002512
374056	GPX4	-0.171726826
374058	ITGB1	-0.019337856
374059	FZD8	0.4539862754
374060	FZD7	0.2509783883
374062	FZD1	0.5183821312
374065	KCNMA1	0.1480401379
374066	DCXR	-0.279156384
374067	PKNOX2	-0.677018678
374068	CDH5	-0.7589919
374071	KHDRBS1	-0.385200392
374072	SLC25A6	-0.246321682
374073	CFDP1	-0.115003476
374074	HIRA	0.0475079708
374075	BTK	-0.761315456
374076	SIAH1	0.5725374909
374078	BIRC5	-0.63361536
374079	OPTN	-0.584878012
374080	TLE4	0.9133660413
374083	DAB1	-0.752839674
374084	ERAL1	-0.415274687
374087	ADARB1	-0.537242556
374088	IMPG1	1.3870231231
374089	SEMA3E	-1.263034406
374090	SEMA3C	0.2887210495
374091	P4HB	-0.344211858
374092	CRY2	0.6556854865
374093	CRY1	0.2904894772
374094	TGFBR1	0.5276442627
374095	ENTPD8	-0.706724093
374096	SMAD6	1.2304697397
374098	KCNIP2	2.2605275502
374100	FLT1	0.3219280949
374102	SDC2	-0.4522297
374103	ZIC1	-1.181025995
374105	RIMBP2	-0.769759332
374106	CDKN1B	0.3186738222
374110	PTGDS	0.3928979801
374111	CELF2	-1.832890014
374113	ADAM10	0.3685228135
374115	ARNTL	-0.621070547
374116	PER2	0.3526318423
374117	IGJ	-0.968973104
374118	SUFU	0.0525046655
374119	NEDD4L	-0.152487013
374120	PPARA	0.2428829471
374122	NDUFS4	-0.240802291
374123	UBE2I	-0.181584894
374125	LITAF	-0.789803366
374126	NAB1	0.3828904516
374127	PAX3	-0.10864126
374128	PDGFB	-1.622930351
374129	LMO2	-2.206450877
374131	NR3C2	-0.1371211
374132	RPL39	-0.184740394
374133	RPL35	-0.11220537
374134	RPL14	-0.149773044
374135	CTGF	1.004187797
374137	MEOX2	-0.609210047
374138	HIPK2	-0.345181396
374139	BRCA2	-0.348657642
374141	TLR2-1	-1.347923303
374144	PTS	-0.244512978
374146	ERG	3.1699250014
374147	BMPR2	0.0483890824
374148	SOX9	0.4626928648
374150	ID4	1.4283697924
374155	ST8SIA4	-0.598244633
374157	NRP2	-0.104567717
374158	DFFB	-0.321721981
374159	ATP5A1	-0.183974212
374161	THYN1	-0.529095338
374162	MKRN2	-0.385562236
374163	HSP90B1	1.8324636604
374165	FABP4	-0.932885804
374166	P2RX4	-0.865262734
374168	WNT7A	0.210825094
374169	CACNA1B	-0.695145418
374173	SLIT3	-0.253756592
374175	CAMK2A	-2.050626073
374177	HIF1A	-0.70195009
374179	IRF4	-0.525360914
374180	ENAH	0.1929419746
374182	ROCK2	-0.404104291
374184	IRX5	0.5955162789
374185	IRX1	-0.025752146
374186	UFD1L	-0.183774596
374187	PTCH2	0.2485763531
374188	PSEN2	-0.093401665
374189	ME1	-0.461109878
374191	PDCD4	0.2876472811
374192	DUSP1	0.6618178211
374193	GAPDH	-0.29417938
374194	UBE3B	-0.083346733
374196	PDGFA	0.0133383133
374197	ACTR3	-0.165390238
374198	APP	-0.05400869
374199	JAK2	0.062449201
374201	PITX1	0.472262368
374202	TBX3	-0.963417531
374203	FBN2	-0.817135943
374204	QKI	-0.034827589
374206	SAP18	-0.057896343
374207	HDAC4	-0.340706286
374208	PTPRG	-0.290827031
374209	ITGB3	0.4283343219
374211	CRABP1	5.0395283642
374212	ADORA1	-0.565597176
374213	ACVR2B	-0.515812779
374214	GABRA1	0.4150374993
374215	POU1F1	-1.201633861
374216	GUCA1A	0.7720218489
374222	GLDC	-1.009934978
374223	LEPR	0.0427496475
374224	PAFAH1B1	-0.027662082
374226	MAGOH	-0.325470638
374228	KCND3	1.8744691179
374229	TNFSF13B	-2.321928095
374231	FOXO1A	-0.439535434
374232	KAT2A	2.7179263274
374233	FKBP1A	-0.121435505
374234	SPTAN1	0.4734742841
374241	PI15	0.1106445247
374242	DCX	-0.562152618
374243	WNT2B	0.2085866218
374244	ATP2B1	0.3854387687
374246	NBN	0.4179787746
374251	TGFBR3	0.311032129
374252	TNKS	-1.260839585
374253	TNKS2	-0.301886698
374254	LSP1	-0.154871275
374255	MRPL23	-0.340291647
374256	CD81	0.0448895949
374258	F9	0.154109877
374259	CACNB4	-0.190403127
374260	STT3A	-0.250890022
374266	XIRP1	-1.259386629
374267	MBL2	-0.120483179
374268	PIK3AP1	-0.097129176
374270	IL16	0.0569558848
374272	DUSP6	0.502983251
374273	SURF4	-0.376170957
374274	TIAL1	-0.038468047
378424	ATXN3	-0.535247475
378779	BMP2	0.6547852998
378781	GH	-1.587891832
378782	EPHA1	0.0079795283
378783	KIT	-0.519982865
378784	NPFFR1	2.9875090558
378785	NPVF	0.2563397533
378788	FZD6	-0.233235274
378789	SLC15A1	-1.584962501
378790	RTN4	-0.615565522
378791	RTN1	-1.38332864
378792	RHBG	-1.346817068
378793	TRMT11	-0.829185427
378797	GJB1	-0.745309932
378798	ARSH	1.7369655942
378799	MSH2	-0.066180715
378800	SOSTDC1	-0.491388385
378801	STK25	-0.000172731
378802	SLC2A8	-0.438012879
378803	TNFRSF11B	-1.928036404
378804	PPP3R1	-0.128443008
378890	PPP3CB	-0.459835998
378891	CSNK1E	0.2307861825
378892	SMARCB1	-0.070087031
378893	FANCG	-0.699775035
378894	TNFSF10	-1.479002635
378895	STX2	-0.021301977
378896	TERF1	0.0357504786
378897	THY1	0.5122722233
378898	DDAH1	-0.101666887
378899	FTD	-0.084509524
378901	RGS4	-1.992305608
378902	LOC378902	-0.045731741
378903	CREM	1.030061908
378905	FAM53A	0.4472872392
378906	ZP3	-3.20343e-16
378907	SGMS1	0.0287296835
378908	SLA	-0.784271309
378909	PYGL	-0.405451763
378910	RECQL	0.0683423682
378911	GHSR	-0.971985624
378912	RGS2	0.4260948958
378913	FLNB	0.4435436731
378915	PSMB7	-0.306438774
378916	LHFPL5	0
378917	FGF9	-0.472181406
378918	TRAM1	-0.057753326
378919	TRIB2	1.3492248654
378921	RIPK1	-0.195210582
378922	BUB1B	-1.160626835
378924	HAL	-0.765014012
378926	ANKRD1	0.8344139343
378928	GRPR	-1.184424571
378930	TNFSF8	1.5849625007
379037	TERC	-0.01282404
386571	SPARC	-1.161829697
386572	GRB2	-0.143653139
386574	NFKB2	-0.530589121
386575	YBX1	-0.201334805
386577	CHRNA5	-0.303191532
386578	CHRNA3	-1.830074999
386580	PTPRC	-0.97011572
386581	ATP4B	-1.169925001
386582	RB1	-0.724949059
386583	MMP2	-0.847996907
386585	NR2F2	0.1219183898
386586	OCM2	-0.531613076
386747	FMN1	-0.541926307
387330	PAX5	-0.90595651
395067	CRIM1	1.0186638443
395070	POFUT1	-0.609537035
395071	FUT11	0.5524969147
395072	CHIA	-0.100825204
395073	FUT10	1.1721192149
395074	CCDC80	-0.857517717
395075	ARC	2.7004397181
395076	CDKN2B	-0.141718279
395078	ALG6	-0.109481299
395080	NT5C3	-0.64168354
395081	TPX2	-0.683579608
395082	CCL20	-1.297044099
395083	TNFRSF1B	-0.482877096
395084	ALC	-1.072149786
395085	PROC	-0.161809624
395086	F7	-0.647058622
395087	TSPAN32	-1.102361718
395088	ZMYND19	-0.124374743
395089	WRNIP1	-0.178189223
395090	TNFRSF8	-0.091090605
395091	PDE6G	1.5025003405
395092	PDE6B	-1.016301812
395093	PHACTR1	0.9161684092
395094	FGFBP2	2.1699250014
395096	TNFRSF6B	-0.570315725
395097	IGF2	1.1049695596
395098	DBC1	0.0703893279
395099	CREB1	0.2208480314
395100	LOC395100	-0.696310291
395101	UNC5C	-0.577573521
395102	POLH	-0.674236537
395104	TBX18	0.8615796062
395105	CRHR2	-2.227068909
395106	SS2	0.6908959455
395107	FGFRL1	-0.02174127
395108	GZMA	-2.070389328
395109	RFTN1	0.3112980717
395110	RGS3	-2.187627003
395112	POFUT2	-0.498321144
395113	PPP3CA	0.0511673167
395114	RHOQ	0.4352943397
395119	ARVCF	-0.227207294
395120	STK40	0.16439529
395121	RHD	-0.53127463
395122	TERF2IP	0.504591449
395123	AIP	-0.914149487
395124	CCNL2	0.0456806034
395126	USP7	-0.343720371
395127	AVEN	-0.249105128
395128	HES1	-0.124686435
395131	SLC34A2	-1.487938046
395132	SMAD3	-0.352661611
395133	SGK1	-0.329266532
395134	NDC80	-0.315854335
395135	NUF2	-0.871506269
395136	PCSK2	-0.180572246
395138	ST3GAL6	-0.756700291
395139	ST3GAL2	-0.369321915
395140	HS2ST1	-0.233360421
395141	HS6ST1	-0.43230623
395142	ITGB5	-0.344023815
395145	HMGCR	-0.351845371
395146	TCF3	-0.062495787
395147	EIF2AK2	0.6316795729
395148	NEBL	-0.399520873
395149	MRAS	-0.691630562
395150	HS6ST2	0.0176180492
395153	PTPRU	0.1040444629
395154	DPYSL3	-0.292657905
395155	DPYSL2	0.5858725358
395156	CRMP1	0.3341962798
395157	HNRNPH1	0.1471403843
395158	NF2	-0.441886083
395161	OAF	-0.212652073
395162	SHISA2	0.1643329012
395163	FSTL4	-0.321121444
395165	BHLHE23	1.3219280949
395166	FAT4	-3
395167	FAT3	-0.497499659
395168	FAT1	0.1049060486
395170	RGS9BP	0.6465647504
395171	DSTYK	0.0398660016
395172	DHRS11	-0.316970573
395173	APTX	0.8302877215
395174	MTF2	0.486135402
395175	EBF3	-0.11189288
395176	EBF2	-0.164386818
395178	UBA7	-0.068675991
395179	ROR1	0.2022092131
395180	CXCL12	-1.75802721
395181	RPSA	-0.122185881
395182	ST6GALNAC4	0.3952843809
395184	SLC35A1	-0.521996275
395185	SLC35B1	0.0021864798
395186	IL17RD	-0.553872673
395188	SMC3	-0.711048878
395189	SMC4	-0.254672758
395190	P2RX1	1.0264722114
395193	NR13	0.4322822446
395194	TLN1	-0.187908673
395196	IL1B	-1.849508373
395197	RAB5C	-0.332294123
395198	CASQ2	-2.520256811
395199	IL2RG	1.3634703571
395201	SH3GL3	3.3949686242
395202	SH3GL1	-0.153705194
395203	SH3GL2	-1.581220099
395204	PCM1	-0.31512105
395205	NODAL	1.8365012677
395206	CHST10	-0.34327163
395207	CENPI	0.0666064358
395208	MAB21L1	0.3219280949
395209	RARRES1	-0.303392143
395210	SPP1	-0.880990837
395214	RGMA	-0.081683798
395215	SDK2	-1.272023189
395216	TMEM121	-0.475482398
395217	FBP2	-0.061715784
395218	FBP1	-0.144572838
395219	SOCS2	-0.024792461
395220	OGCHI	-0.10131972
395221	NR1H3	0.5770624289
395222	MTFR1	0.0309157472
395225	TOB1	0.76567714
395226	IFRD1	0.2175264503
395227	SULT1B1	0.1011393495
395228	RDM1	-0.641558607
395229	TCF7	-0.124333862
395231	HOXA3	-1.736965594
395232	EIF4A2	0.489585507
395233	DYRK1A	0.1500001719
395234	INVS	0.6390521093
395235	WNT6	-0.121990524
395236	BID	-0.158323421
395237	SFRP1	2.3219280949
395238	WFDC1	-0.137503524
395239	KCNIP4	-0.415037499
395241	HOPX	-0.564784619
395242	EMB	-0.637429921
395243	IRF10	-1.104286358
395244	UNC93B1	-0.684702146
395245	MSX2	0.1035504542
395246	ACVR1	0.1375865231
395247	SMAD2	0.1125851917
395248	KCNT1	-0.117994201
395249	DDX1	-0.456403096
395250	SSBP3	-0.379656836
395251	NSG1	-0.221105771
395252	MESP2	2.1483918399
395253	NR2C2	-0.040660611
395254	FKBP1B	0.4196898575
395255	FIGF	0.2866212262
395257	CBFB	0.1488759043
395258	IL15	-0.562274906
395259	TRPV1	0.3635471841
395262	LIFR	-0.734780993
395263	DBI	-0.233715045
395264	ALDH1A1	-0.15264375
395266	CPZ	-0.485966253
395267	FMO6P	-0.301410215
395268	SSB	-0.361980356
395269	RPL5	-0.131067333
395270	MOCS1	-0.674686751
395272	CLTC	-0.234681674
395274	FAS	0.0752100023
395275	ZW10	-0.271335602
395277	PARK7	-0.145855614
395278	GJA1	-0.563401596
395279	MYH7B	-0.325947053
395280	XIAP	-0.23489104
395282	ID1	0.5874876542
395283	TRAIL-LIKE	-1.185214872
395284	CASP8	-0.040719283
395285	NR0B1	1.0257895212
395290	HOXA7	-0.175569308
395291	ROBO2	-0.447458977
395292	ROBO1	-0.464215277
395293	SLIT1	-1.093109404
395294	IL2RA	-0.144389909
395295	EIF2S2	-0.008636736
395298	SNRPB	-0.33670791
395299	SOCS3	0.2543267986
395300	SULT1C3	-0.366251561
395301	KCNMB1	-0.347923303
395302	SP3	0.1490590314
395304	SREBF2	-0.243610456
395305	SSTR2	-0.158064846
395306	F2	0.0296065538
395307	HOXA4	-0.51583814
395308	SFTPA1	-0.700439718
395309	IKZF2	-0.517323784
395312	IL18	0.0096876864
395313	MX1	-0.216423464
395314	CHAT	-2.540568381
395315	GART	-0.529727819
395316	CENPH	-0.668964137
395317	CNTN5	-0.296981738
395318	PSMA7	-0.120751124
395321	TULP1	-1.514967298
395322	NKX2-1	0.7884958948
395323	KDR	-0.543621705
395324	CXCR4	1.5584163298
395326	NFIL3	0.4413291835
395327	HOXA11	0.561444694
395329	VIPR1	0.4653662423
395330	PTPRJ	-0.516496834
395331	ST7L	-0.764271209
395332	TES	-0.242570611
395333	MOXD1	-2.5360529
395334	OPN4-1	0.4947646917
395335	CISH	-0.100980621
395336	TYRO3	0.8359016178
395338	AKR1B10	-0.39288088
395339	ADCY9	0.1976736471
395340	ADCY5	1.1373724947
395342	CRTAM	-0.874469118
395343	DAD1	-0.213892197
395344	SPINZ	0.2294858461
395345	FABP1	-0.647300165
395346	BCMO1	-0.285541805
395347	MXRA8	-0.84421679
395348	ACTR6	-0.423706124
395349	FSTL1	-0.377689134
395350	MYH7	-1.093109404
395351	DPF3	-0.412957189
395353	FKBP3	-0.2157402
395354	CBX4	-0.17371145
395355	CBX3	-0.025487233
395356	MINPP1	0.3310464102
395357	CENPF	-1.122309179
395358	BCHE	-0.566086955
395359	SALL3	0.7193929647
395360	EIF2AK1	-0.835277838
395362	CD4	-0.415037499
395365	ADRM1	-0.430466121
395368	CGNRH-R	1.1793236994
395369	CRISPLD1	-1.177584134
395370	U2AF1	-0.578797874
395372	CLSTN1	-0.412976111
395373	ACLY	-0.044449889
395374	DBT	-0.105361107
395375	BCKDHB	-0.30250243
395376	PRKDC	-0.410056739
395377	GBX1	1.9851595087
395378	CACNG3	0.0536119618
395380	CD164	-0.09683395
395381	MUC5B	1.2823997307
395382	GPR149	1.1740293998
395383	SLC16A3	0.0862733222
395384	C4BPA	0.1700937938
395385	CD40	0.087996481
395386	CLEC3B	0.0497530352
395387	MMP9	-0.630305486
395389	ALDH1A3	-0.074446565
395390	RBBP7	-0.432069514
395391	SNCB	-0.714245518
395392	SNCG	-0.222392421
395394	FGF19	0.5849625007
395395	GAD2	0.7004397181
395396	WNT3A	3.5849625007
395397	CDX1	-0.2410081
395399	CITED2	0.2974231314
395400	BAZ2B	-0.24816404
395401	ATM	-0.118664712
395402	SLC34A1	-2.353636955
395403	TRA2B	-0.011238229
395404	FETUB	-0.235598907
395406	ODZ4	-0.698420551
395409	RYK	0.1898717141
395410	ABL2	-0.171003329
395411	ZBTB7A	0.4677789614
395412	ITPR1	0.031909248
395414	CCT4	0.2844493907
395415	MGAT4C	0.3807075065
395416	ABCC1	0.0618083121
395417	SIK1	1.2773422425
395419	MSGN1	3.1538053361
395420	F13A1	-0.67079867
395421	STAR	0.3064270013
395422	OPCML	-1.553340522
395424	HINT1	-0.222816639
395427	TRPV4	0.4150374993
395428	MBD4	-0.304066957
395429	POSTN	-0.963474124
395433	NPAS2	-0.65941245
395434	POPDC3	-0.04597824
395435	PLEKHA2	-1.14548286
395436	USPL1	0.459303907
395438	LCP2	-0.956931278
395440	LRRC17	-1
395441	TLL1	0.2157286911
395442	RHOA	-0.103183196
395444	HABP4	-0.584316855
395445	BOK	-0.474953496
395446	SALL1	0.4758773852
395447	DDX4	-0.773540209
395449	RAD54B	-0.026724953
395450	NTM	-0.405514725
395451	CXCL14	-1.053079088
395453	FGF18	-0.837643544
395454	PCSK6	0.1421744127
395455	PCSK7	-1.051779987
395456	PCSK5	-0.609094163
395457	FURIN	-0.781158686
395458	SLC6A2	-0.403896942
395460	TM9SF3	-0.442049672
395461	ESPN	-0.252256767
395463	FOXK1	-0.055556659
395465	CITED4	-0.747388481
395466	CSPG5	-0.330322536
395468	CCL4	-2.552296312
395469	PDGFC	-1.294183104
395472	TCIRG1	-0.444935053
395473	ATP6V0A2	0.3003905892
395474	ATP6V0A1	-0.410817646
395475	KANK1	-0.763459746
395476	CASP3	0.0236398694
395477	CASP6	0.2005161124
395478	PPP1R12B	0.2262452883
395479	PPARD	-0.171401509
395480	RGN	0.7655347464
395481	ANXA6	-1.08246216
395483	SOX8	-0.094636874
395484	OTOR	-2.887525271
395486	POLR2F	-0.0938802
395487	MYO6	-1.102408822
395488	MARCO	-1.247927513
395489	C1H21orf91	0.485924394
395490	TAX1BP1	0.0232671691
395494	BMP7	-0.297680549
395496	SLC5A1	-1.450072374
395497	ATP6V1B2	-0.066438133
395498	VDAC2	-0.226414184
395499	TAOK3	-0.450815857
395500	MKRN1	-0.062548663
395502	HOXB3	0.1867685116
395503	RUNX1T1	-2.075288127
395504	GATM	0.071553261
395505	PBX1	0.119786857
395506	HDAC3	-0.580339254
395507	P2RX5	-0.882074275
395508	TCF7L2	-0.438048917
395509	PDGFRA	-0.807354922
395510	TDG	-0.86545128
395511	RDX	-0.186350473
395512	EBF1	-0.691368728
395514	EIF5B	0.2250388292
395515	TXLNB	-0.485426827
395516	DTX4	-0.144476505
395517	TBPL1	0.3037401009
395518	MAFK	0.5137027049
395519	MAFF	0.6591902956
395520	C5H11orf58	-0.577323483
395522	CHRNA9	-2.007341975
395528	UBE2J1	0.014894703
395529	LEFTY2	-0.371968777
395530	COL4A1	-0.110968792
395531	NID1	-0.58919535
395532	LOC395532	1.4015163596
395534	MYH15	-0.878110581
395535	OLFM1	-1.151043536
395536	VSX2	-0.537656786
395537	VSX1	-0.584962501
395538	C1QBP	-0.185977555
395542	TEAD4	0.1767422382
395543	SMAD9	0.2095491653
395545	FRZB	0.405722823
395546	SFRP2	0.4845696108
395548	PHOX2B	3.4214637684
395549	DBH	-0.056583528
395550	LY6E	-0.644225734
395554	FGF14	-1.448460501
395555	MRE11A	-0.450392004
395556	STAT5B	-0.047441185
395557	NUDT16L1	-0.458570582
395559	EPHA4	0.3458058335
395560	NRP1	0.0617852978
395561	WNT4	1.6671310423
395562	WNT11	0.2774135452
395565	VCAN	0.5081469037
395567	SOUL	-0.754210975
395568	COL5A1	-1.584962501
395569	GDNF	-0.565597176
395570	TOP2A	-0.716273818
395571	FZ-8	-0.45606772
395572	FZD3	-0.175009015
395574	PAX2	0.0425918767
395575	ESR2	-0.725825037
395576	DACH2	-1.123203579
395577	NEUROG2	-0.073063462
395579	KCNN2	-0.105852445
395580	PAOX	-0.697414117
395582	VAX1	-0.364996817
395584	SPRY2	0.0183473652
395586	TSPAN18	-0.393543058
395588	MEIS2	-0.434338055
395591	NKX6-2	0.7490926848
395594	HAS2	-0.482151695
395596	EPAS1	-0.037860391
395598	TERF2	-0.07736005
395599	DMN	1.0378340133
395600	LECT1	3.9385994553
395602	PSAP	-0.321558735
395604	CHRNB3	0.8744691179
395607	CHRNA2	1.0824621602
395608	CHRNA1	1.3219280949
395609	MDM2	-0.41050622
395610	ANGPT2	-1.387023123
395611	LOC395611	-0.353395024
395612	GSTA3	-0.191578672
395613	CHRNB4	0.9808911771
395615	SHH	-0.612611881
395618	RGS6	-1.568088682
395619	RGS12	-0.63815544
395620	RGS7	-0.917913297
395621	RGS11	1.4076579689
395622	ADMP	1.7846777019
395623	CER1	0.0331668639
395624	FOXF1	-0.159030779
395625	EFNB2	0.2633071528
395626	UCHL3	-0.703950417
395627	MAPKAP1	-0.138366122
395629	DDX5	-0.839619469
395630	RNF12	-0.419070545
395631	LDB2	-0.873595657
395634	ELAVL4	-0.263677175
395635	HDAC2	-0.483021038
395637	ELAVL1	0.0175223413
395638	FOLR1	-2.321928095
395639	NUMB	-0.209161279
395640	CHUNK-1	1
395642	DUSP4	-0.342718144
395643	PDLIM4	-0.045323991
395644	USP15	-0.677126186
395645	RGS17	0.2263333452
395646	RGS20	1.7147606739
395647	RAP1GAP	-0.465438068
395648	GPRIN2	-0.120854395
395650	PHOSPHO1	0.3150662744
395651	BKJ	0.7951802081
395652	FKBP9	-0.417554996
395653	HPRT1	-0.206576656
395654	HBEGF	0.214712005
395655	NOTCH1	-0.011218525
395656	RELB	-0.243472465
395657	SPON1	-0.36923381
395658	RBBP4	0.0110213883
395659	XPA	-0.187405546
395660	PRLR	-0.940218772
395662	NEGR1	0.0142513017
395663	IL10RB	0.4462023905
395664	IFNAR2	-0.438456638
395665	IFNAR1	-0.088303375
395666	CD44	-0.078777113
395667	ANPEP	0.0039320593
395668	ODZ1	0.7369655942
395669	PLEK	0.3300213855
395670	MEF2A	-0.437956092
395671	ERBB4	-0.123735368
395672	UBE2A	-0.388802093
395673	BCL2A1	-0.037556005
395674	MCL1	0.0520248881
395675	TMCO3	-0.826569055
395678	RBPMS2	-0.538576534
395679	SMAD5	0.3255870261
395680	SMAD1	0.4532383082
395681	JAK1	0.0871296009
395682	ZFHX3	-0.393672346
395683	MMP-13	-0.325986311
395684	IL6ST	0.2061062212
395685	WSB1	0.8908864217
395686	TECTA	0.5436217053
395687	LSAMP	-0.07519193
395688	PTPN1	-0.016664386
395689	ENO2	-0.262696182
395690	PGC	1.0972972014
395691	PGA	2.4918530963
395692	ZP4	-0.590479506
395693	ATF4	0.8295727551
395694	ITPKA	0.3762354802
395695	AKAP9	0.0672724584
395696	GC	-0.059084337
395700	RPE65	-0.240234536
395701	EZR	0.3193143471
395702	MTPN	-0.227655231
395703	WNT5A	-0.04801425
395704	FGF12	-0.65513988
395705	LHX2	-0.782408565
395706	SCD	-0.088252947
395707	ATP2A3	0.484694258
395708	LYG2	-0.83824893
395709	PALM	0.3584539709
395712	ABCB1	-0.150613145
395715	SERPINB10	1.062644937
395716	EYA4	3.6048620582
395717	EYA3	-0.416596664
395718	EYA1	1
395719	TK1	-0.189183011
395721	KCNA4	-1.736965594
395722	CLU	0.8779447016
395723	EEF1B2	-0.107712122
395724	HMGB1	-0.282354883
395726	FTCD	-0.81338787
395727	ATF2	0.3906111478
395729	PCBD1	-0.145014117
395730	KCNAB1	0.4436066515
395731	CNBP	-0.190516852
395733	BLNK	-2.141773961
395734	RHOB	-0.036912558
395735	OTC	0.0242475462
395736	NEDD9	-1.243458447
395737	HOXB8	-1.259477363
395740	PAX9	-0.106308902
395742	FLT4	0.4288432988
395743	GAD1	0.2234710719
395745	EYA2	-0.896895097
395746	OAZ1	-0.205015339
395747	ETV4	-0.342957086
395748	ETV1	-0.508169766
395749	ETV5	0.2415061129
395750	ETV6	0.4855091438
395751	TJP2	-0.070236265
395753	MAP6	0.2567754154
395754	NEUROD1	0.2418179199
395755	PODXL	-2.019899557
395758	SDHA	-0.264372972
395759	SLC8A3	-0.188203735
395760	SLC8A1	-0.584962501
395761	TNNT3	0.2736480799
395762	LOC395762	-0.064799646
395764	CASP1	-0.500824927
395765	NPPA	-1.03343696
395766	USP2	-0.752410652
395767	XRCC6	-0.791188747
395768	MNX1	1.2377385806
395769	MNR2	-0.625477105
395771	GJB6	-0.20085283
395773	CDD	0.4959574947
395774	GSN	-0.39228991
395775	DCT	-0.262085576
395776	LHCGR	-1.216958535
395777	PHEX	-1.652076697
395778	C3H6orf72	-0.020791122
395779	COCH	-0.582942579
395780	APOA4	-0.988808294
395781	MRPS30	-0.093840597
395782	T	0.299762767
395783	CHD1	0.1604326603
395784	CLIP1	-0.848825773
395785	HSD17B4	-0.154053434
395786	AXIN1	0.1566706017
